ID_Pelanggan,Tahun,Umur,Pekerjaan,Jumlah_Chat,Frekuensi_Konsultasi,Kunjungan_Website,Nilai_Transaksi,Frekuensi_Pembelian,Produk_Diminati,Status_Pembayaran,Lead_Scoring
41,2023,39,Freelancer,23,4,6,4715408,1,Paket CCTV,Lunas,Warm
42,2023,30,Freelancer,28,6,13,1617183,7,Paket CCTV,Belum,Cold
43,2023,31,Teknisi,30,6,15,7023219,7,CCTV Indoor,Belum,Hot
44,2023,47,Pegawai,9,2,6,7270579,6,Kamera CCTV,Belum,Warm
45,2023,23,Mahasiswa,8,6,9,7766211,5,CCTV Outdoor,Belum,Warm
46,2023,45,Mahasiswa,16,2,4,3512326,7,Paket CCTV,Lunas,Warm
47,2023,31,Kontraktor,10,8,17,10377272,6,DVR,Belum,Hot
48,2023,33,Pegawai Swasta,10,8,15,4819556,6,CCTV Outdoor,Belum,Warm
49,2023,43,Teknisi,24,8,18,9439973,7,Paket CCTV,Belum,Hot
50,2023,46,Wirausaha,7,1,5,10631191,6,CCTV Outdoor,Lunas,Warm
51,2023,24,Kontraktor,29,1,5,2742403,7,CCTV Outdoor,Belum,Warm
52,2023,47,Mahasiswa,18,6,6,7040548,7,CCTV Indoor,Belum,Hot
53,2023,39,Karyawan,21,3,7,3012280,4,Paket CCTV,Belum,Warm
54,2023,49,Freelancer,26,6,12,13614536,3,CCTV Outdoor,Belum,Hot
55,2023,27,Karyawan,22,2,20,7834221,6,Paket CCTV,Belum,Hot
56,2023,35,Pegawai,8,7,10,11981777,3,Kamera CCTV,Belum,Warm
57,2023,36,Freelancer,6,8,17,1753641,3,CCTV Outdoor,Lunas,Cold
58,2023,31,Teknisi,4,2,16,6763857,5,Kamera CCTV,Belum,Warm
59,2023,24,Freelancer,10,8,14,6546166,7,CCTV Indoor,Belum,Warm
60,2023,45,Teknisi,22,4,6,13742827,7,CCTV Indoor,Belum,Hot
61,2023,28,Mahasiswa,13,5,5,12684832,3,Kamera CCTV,Lunas,Warm
62,2023,50,Pegawai,8,2,8,13800836,5,Kamera CCTV,Belum,Warm
63,2023,28,Pegawai Swasta,16,4,15,9887085,1,Paket CCTV,Lunas,Hot
64,2023,43,Pegawai Swasta,27,4,17,9393807,5,DVR,Lunas,Hot
65,2023,34,Kontraktor,27,8,11,7767410,8,CCTV Indoor,Lunas,Hot
66,2023,23,Kontraktor,29,3,11,3057201,4,Kamera CCTV,Lunas,Warm
67,2023,40,Teknisi,25,7,18,11015760,1,CCTV Outdoor,Lunas,Hot
68,2023,35,Wirausaha,9,2,18,5292335,3,Paket CCTV,Belum,Warm
69,2023,42,Karyawan,18,8,20,2379391,3,Paket CCTV,Belum,Cold
70,2023,22,Karyawan,23,5,13,6921020,7,Paket CCTV,Belum,Warm
71,2023,23,Wirausaha,20,5,2,11055940,7,CCTV Outdoor,Lunas,Warm
72,2023,29,Teknisi,17,8,14,6548677,8,Kamera CCTV,Belum,Warm
73,2023,35,Karyawan,27,4,5,4031675,2,DVR,Lunas,Warm
74,2023,42,Kontraktor,11,4,6,818993,7,CCTV Outdoor,Lunas,Cold
75,2023,37,Wirausaha,3,5,2,12783316,1,DVR,Belum,Cold
76,2023,50,Kontraktor,24,3,10,4972412,7,Paket CCTV,Belum,Warm
77,2023,25,Kontraktor,28,1,20,745516,1,CCTV Indoor,Lunas,Cold
78,2023,31,Pegawai Swasta,23,3,3,7867764,4,Paket CCTV,Belum,Warm
79,2023,36,Karyawan,18,2,1,10915124,8,CCTV Indoor,Belum,Warm
80,2023,27,Mahasiswa,27,1,5,7061327,1,Paket CCTV,Belum,Warm
81,2023,37,Karyawan,17,7,7,5244313,5,CCTV Outdoor,Lunas,Warm
82,2023,32,Pegawai Swasta,23,8,9,11125599,3,CCTV Indoor,Belum,Hot
83,2023,47,Pegawai,27,8,3,1580728,1,DVR,Belum,Cold
84,2023,24,Karyawan,10,2,6,2054820,5,Kamera CCTV,Belum,Cold
85,2023,40,Wirausaha,8,7,7,4226266,8,CCTV Outdoor,Belum,Warm
86,2023,32,Kontraktor,29,5,2,830360,1,Paket CCTV,Lunas,Cold
87,2023,47,Pegawai Swasta,3,2,12,12307512,8,Kamera CCTV,Lunas,Warm
88,2023,30,Teknisi,28,4,16,12467455,8,Paket CCTV,Lunas,Hot
89,2023,33,Wirausaha,1,1,3,8077381,7,DVR,Lunas,Cold
90,2023,28,Wirausaha,10,6,17,2391923,3,CCTV Outdoor,Lunas,Cold
91,2023,46,Freelancer,17,2,13,12913837,1,DVR,Lunas,Warm
92,2023,30,Teknisi,24,3,4,11569351,3,Kamera CCTV,Lunas,Warm
93,2023,47,Freelancer,7,2,2,12601097,4,CCTV Indoor,Lunas,Cold
94,2023,24,Teknisi,8,8,13,13057777,4,CCTV Outdoor,Belum,Warm
95,2023,48,Freelancer,14,6,1,6144984,2,CCTV Outdoor,Belum,Warm
96,2023,47,Kontraktor,3,1,13,10266760,4,CCTV Indoor,Lunas,Warm
97,2023,28,Karyawan,21,1,9,11063489,8,CCTV Outdoor,Lunas,Hot
98,2023,50,Kontraktor,21,8,15,9941412,4,CCTV Indoor,Belum,Hot
99,2023,46,Wirausaha,24,4,10,4496399,2,Kamera CCTV,Lunas,Warm
100,2023,43,Karyawan,4,8,2,8813908,4,CCTV Indoor,Belum,Cold
101,2023,43,Pegawai Swasta,25,5,8,4181520,4,Kamera CCTV,Belum,Warm
102,2023,30,Kontraktor,21,1,1,13857305,5,CCTV Indoor,Lunas,Warm
103,2023,38,Pegawai Swasta,16,4,1,11873191,3,Paket CCTV,Belum,Warm
104,2023,49,Pegawai Swasta,9,7,15,12881711,8,CCTV Outdoor,Belum,Hot
105,2023,33,Wirausaha,22,4,12,11754569,5,CCTV Outdoor,Belum,Hot
106,2023,44,Teknisi,14,2,1,5195713,1,Kamera CCTV,Lunas,Cold
107,2023,50,Pegawai Swasta,22,8,16,10279107,8,DVR,Belum,Hot
108,2023,45,Wirausaha,28,2,3,6604496,4,DVR,Belum,Warm
109,2023,34,Karyawan,16,1,5,9343517,7,Paket CCTV,Lunas,Warm
110,2023,28,Karyawan,20,3,9,4587252,8,Paket CCTV,Belum,Warm
111,2023,32,Pegawai Swasta,30,1,4,11544347,4,CCTV Outdoor,Lunas,Hot
112,2023,36,Pegawai Swasta,4,3,20,14573106,6,Paket CCTV,Lunas,Warm
113,2023,24,Karyawan,3,6,3,13437849,8,DVR,Lunas,Warm
114,2023,35,Teknisi,21,6,20,14156744,4,CCTV Indoor,Belum,Hot
115,2023,42,Karyawan,21,7,5,6975851,3,Kamera CCTV,Belum,Warm
116,2023,30,Karyawan,29,1,15,4496251,2,DVR,Lunas,Warm
117,2023,22,Pegawai,30,6,18,8134221,7,Kamera CCTV,Belum,Hot
118,2023,40,Pegawai,2,7,10,4559051,1,Paket CCTV,Belum,Warm
119,2023,48,Pegawai Swasta,13,4,4,4211925,6,CCTV Outdoor,Lunas,Warm
120,2023,26,Pegawai,21,2,17,11010835,8,Kamera CCTV,Lunas,Hot
121,2023,36,Kontraktor,26,7,17,12513473,4,CCTV Outdoor,Lunas,Hot
122,2023,30,Kontraktor,22,8,16,2197107,8,Kamera CCTV,Lunas,Cold
123,2023,27,Wirausaha,1,8,12,7393537,4,Paket CCTV,Lunas,Warm
124,2023,47,Wirausaha,26,6,5,2413496,4,CCTV Indoor,Belum,Cold
125,2023,46,Wirausaha,3,3,6,10924217,1,DVR,Belum,Cold
126,2023,44,Teknisi,4,2,9,2294355,6,Kamera CCTV,Lunas,Cold
127,2023,41,Mahasiswa,9,6,11,4344381,2,CCTV Outdoor,Lunas,Warm
128,2023,46,Pegawai Swasta,24,2,13,12286350,2,CCTV Indoor,Lunas,Hot
129,2023,46,Mahasiswa,13,2,11,14873658,5,CCTV Indoor,Belum,Warm
130,2023,34,Pegawai Swasta,5,6,18,8969524,6,CCTV Indoor,Belum,Warm
131,2023,44,Pegawai Swasta,5,6,15,4232723,6,CCTV Indoor,Belum,Warm
132,2023,49,Freelancer,16,2,10,9839718,6,Kamera CCTV,Lunas,Warm
133,2023,30,Freelancer,6,7,12,2245187,5,CCTV Outdoor,Lunas,Cold
134,2023,34,Pegawai,24,4,7,2401322,6,DVR,Lunas,Cold
135,2023,42,Teknisi,9,3,17,5765670,3,Paket CCTV,Belum,Warm
136,2023,22,Mahasiswa,16,5,13,6656616,3,CCTV Outdoor,Lunas,Warm
137,2023,44,Karyawan,5,3,11,14491827,2,Kamera CCTV,Lunas,Warm
138,2023,29,Pegawai,22,6,8,14150441,7,CCTV Indoor,Lunas,Hot
139,2023,31,Kontraktor,18,3,7,12349309,8,DVR,Belum,Hot
140,2023,31,Teknisi,23,7,1,13579664,7,CCTV Outdoor,Belum,Hot
141,2023,30,Wirausaha,5,1,17,9709260,7,Paket CCTV,Belum,Warm
142,2023,28,Mahasiswa,21,7,3,10410506,4,CCTV Indoor,Belum,Warm
143,2023,22,Pegawai,4,2,2,12141110,7,Paket CCTV,Lunas,Cold
144,2023,46,Freelancer,4,1,6,14819493,8,CCTV Outdoor,Belum,Warm
145,2023,49,Kontraktor,18,8,15,2953249,1,CCTV Outdoor,Belum,Warm
146,2023,43,Pegawai Swasta,8,4,15,11603609,8,Kamera CCTV,Belum,Warm
147,2023,33,Wirausaha,15,1,11,6181562,7,Paket CCTV,Belum,Warm
148,2023,29,Pegawai,10,3,4,3167251,8,Paket CCTV,Belum,Warm
149,2023,39,Pegawai Swasta,30,1,1,2366726,3,CCTV Indoor,Belum,Cold
150,2023,44,Wirausaha,5,4,4,9768472,7,Paket CCTV,Lunas,Warm
151,2023,50,Karyawan,5,8,17,10099141,8,CCTV Outdoor,Lunas,Hot
152,2023,29,Pegawai Swasta,5,4,13,7213232,4,DVR,Lunas,Warm
153,2023,22,Freelancer,14,4,4,3118459,4,DVR,Belum,Warm
154,2023,33,Freelancer,7,2,17,7468840,7,CCTV Outdoor,Lunas,Warm
155,2023,46,Mahasiswa,16,3,9,2757681,3,DVR,Belum,Warm
156,2023,44,Teknisi,16,6,2,12775151,8,CCTV Indoor,Lunas,Warm
157,2023,37,Wirausaha,23,4,14,9174044,8,CCTV Indoor,Belum,Hot
158,2023,22,Mahasiswa,16,4,16,4500905,6,CCTV Indoor,Belum,Warm
159,2023,35,Teknisi,28,6,19,1536593,5,Kamera CCTV,Belum,Cold
160,2023,43,Kontraktor,30,3,12,14862279,4,CCTV Outdoor,Lunas,Hot
161,2023,37,Karyawan,18,5,13,14491745,7,DVR,Belum,Hot
162,2023,42,Freelancer,28,8,6,12460331,1,CCTV Outdoor,Belum,Hot
163,2023,37,Wirausaha,26,4,3,12252359,6,CCTV Outdoor,Lunas,Hot
164,2023,40,Pegawai,18,2,12,10142650,7,CCTV Indoor,Lunas,Hot
165,2023,39,Pegawai Swasta,27,6,3,6808097,1,CCTV Indoor,Belum,Warm
166,2023,23,Wirausaha,26,1,16,13608226,2,DVR,Lunas,Hot
167,2023,39,Freelancer,20,7,4,5434448,4,Paket CCTV,Lunas,Warm
168,2024,49,Kontraktor,17,4,17,4926495,6,Kamera CCTV,Belum,Warm
169,2024,46,Wirausaha,27,5,1,4779029,6,Kamera CCTV,Lunas,Warm
170,2024,34,Wirausaha,19,4,2,13472176,3,CCTV Outdoor,Lunas,Warm
171,2024,43,Wirausaha,13,2,11,2340051,6,Kamera CCTV,Belum,Cold
172,2024,22,Pegawai Swasta,14,3,2,2544247,3,CCTV Indoor,Lunas,Warm
173,2024,24,Wirausaha,13,7,8,9908830,5,CCTV Indoor,Lunas,Warm
174,2024,44,Teknisi,5,2,15,10997604,5,CCTV Outdoor,Belum,Warm
175,2024,30,Mahasiswa,14,5,19,2130133,4,Paket CCTV,Lunas,Cold
176,2024,36,Mahasiswa,12,4,6,12306222,7,DVR,Lunas,Warm
177,2024,50,Freelancer,5,5,8,6596090,3,CCTV Outdoor,Lunas,Warm
178,2024,23,Pegawai,24,2,11,583942,3,Paket CCTV,Lunas,Cold
179,2024,33,Freelancer,13,7,4,5290225,6,CCTV Outdoor,Belum,Warm
180,2024,29,Mahasiswa,26,5,15,9767996,5,Kamera CCTV,Belum,Hot
181,2024,34,Karyawan,23,1,18,9157760,5,CCTV Outdoor,Lunas,Hot
182,2024,39,Pegawai,21,4,4,14424680,4,CCTV Indoor,Belum,Warm
183,2024,37,Kontraktor,26,2,13,3245735,8,Kamera CCTV,Lunas,Warm
184,2024,27,Freelancer,15,6,16,6075479,8,Kamera CCTV,Belum,Warm
185,2024,39,Freelancer,11,8,15,13298595,3,CCTV Outdoor,Belum,Hot
186,2024,27,Wirausaha,30,2,7,1597462,2,DVR,Lunas,Cold
187,2024,50,Kontraktor,18,3,4,8699580,5,CCTV Outdoor,Lunas,Warm
188,2024,45,Teknisi,28,8,7,3391147,5,DVR,Belum,Warm
189,2024,31,Pegawai Swasta,20,5,7,6204626,1,CCTV Indoor,Belum,Warm
190,2024,25,Wirausaha,11,2,15,3127655,1,CCTV Outdoor,Belum,Warm
191,2024,31,Mahasiswa,3,8,1,8970598,8,Kamera CCTV,Lunas,Warm
192,2024,32,Pegawai Swasta,9,5,17,8545351,2,CCTV Indoor,Lunas,Warm
193,2024,25,Kontraktor,10,1,9,14582471,7,CCTV Outdoor,Lunas,Warm
194,2024,24,Karyawan,15,6,5,1476716,1,Kamera CCTV,Belum,Cold
195,2024,50,Karyawan,11,5,15,11376898,4,Kamera CCTV,Lunas,Warm
196,2024,46,Karyawan,1,8,9,10591669,5,Paket CCTV,Lunas,Warm
197,2024,43,Kontraktor,3,2,8,14815344,7,DVR,Lunas,Warm
198,2024,41,Karyawan,12,2,11,3427723,1,CCTV Indoor,Lunas,Warm
199,2024,47,Teknisi,26,3,8,2804632,5,DVR,Lunas,Warm
200,2024,33,Pegawai,4,7,18,1962946,8,CCTV Indoor,Belum,Cold
201,2024,48,Wirausaha,3,7,13,13340682,2,Paket CCTV,Belum,Warm
202,2024,22,Mahasiswa,18,1,18,10942548,3,CCTV Indoor,Lunas,Hot
203,2024,28,Karyawan,5,8,15,6078367,2,Kamera CCTV,Lunas,Warm
204,2024,35,Mahasiswa,6,3,3,6443643,7,DVR,Belum,Warm
205,2024,32,Teknisi,27,7,11,3272111,7,CCTV Indoor,Belum,Warm
206,2024,33,Karyawan,30,5,2,7102280,3,Kamera CCTV,Belum,Hot
207,2024,34,Kontraktor,24,3,4,7359945,7,Paket CCTV,Lunas,Hot
208,2024,41,Mahasiswa,12,3,19,9428855,1,CCTV Outdoor,Lunas,Warm
209,2024,22,Mahasiswa,3,2,8,9170656,4,Paket CCTV,Belum,Cold
210,2024,40,Pegawai Swasta,20,3,1,5795545,8,DVR,Lunas,Warm
211,2024,45,Freelancer,1,3,20,3459947,2,Paket CCTV,Belum,Warm
212,2024,35,Karyawan,16,7,19,6764789,6,DVR,Lunas,Warm
213,2024,35,Karyawan,25,7,20,8049993,5,CCTV Indoor,Lunas,Hot
214,2024,31,Mahasiswa,4,4,18,9373690,6,CCTV Indoor,Lunas,Warm
215,2024,45,Teknisi,8,5,4,4413357,2,Kamera CCTV,Lunas,Warm
216,2024,29,Mahasiswa,11,7,15,10884572,8,Kamera CCTV,Belum,Hot
217,2024,23,Karyawan,12,3,2,10225950,8,Kamera CCTV,Lunas,Warm
218,2024,22,Freelancer,3,8,13,11304593,6,DVR,Belum,Warm
219,2024,33,Pegawai,17,2,2,11369533,2,DVR,Belum,Warm
220,2024,38,Teknisi,27,4,8,8583773,3,Paket CCTV,Belum,Hot
221,2024,30,Wirausaha,16,5,9,3905784,6,CCTV Outdoor,Belum,Warm
222,2024,29,Pegawai,16,1,19,3207512,1,CCTV Outdoor,Belum,Warm
223,2024,22,Teknisi,6,7,12,7546940,2,DVR,Belum,Warm
224,2024,39,Teknisi,17,5,14,947766,4,CCTV Indoor,Lunas,Cold
225,2024,23,Wirausaha,10,6,11,5411719,2,Kamera CCTV,Belum,Warm
226,2024,30,Mahasiswa,23,5,20,4727776,1,CCTV Indoor,Lunas,Warm
227,2024,38,Kontraktor,13,6,18,4342572,6,CCTV Outdoor,Lunas,Warm
228,2024,26,Wirausaha,30,8,9,2082548,8,CCTV Indoor,Lunas,Cold
229,2024,26,Wirausaha,21,6,19,10552160,6,Kamera CCTV,Lunas,Hot
230,2024,25,Freelancer,13,1,5,9539580,7,Paket CCTV,Lunas,Warm
231,2024,26,Wirausaha,29,1,10,10214153,1,DVR,Belum,Hot
232,2024,30,Mahasiswa,17,3,3,4582503,5,CCTV Indoor,Belum,Warm
233,2024,33,Wirausaha,12,3,1,6456083,7,DVR,Belum,Warm
234,2024,48,Mahasiswa,8,3,16,8431414,1,Kamera CCTV,Belum,Warm
235,2024,39,Teknisi,15,2,7,5404887,4,CCTV Outdoor,Lunas,Warm
236,2024,48,Pegawai,6,1,10,2535352,5,Kamera CCTV,Lunas,Warm
237,2024,45,Karyawan,13,3,11,11301127,5,Kamera CCTV,Belum,Warm
238,2024,27,Mahasiswa,9,7,4,8728438,2,DVR,Belum,Warm
239,2024,49,Kontraktor,17,8,14,8444064,3,CCTV Indoor,Lunas,Hot
240,2024,32,Teknisi,17,8,9,8986810,5,DVR,Belum,Hot
241,2024,39,Kontraktor,20,2,15,5869016,7,Paket CCTV,Lunas,Warm
242,2024,37,Teknisi,29,4,5,12416002,7,CCTV Outdoor,Lunas,Hot
243,2024,24,Freelancer,8,3,11,12049982,1,DVR,Lunas,Warm
244,2024,41,Karyawan,22,4,4,12145663,2,CCTV Outdoor,Belum,Warm
245,2024,42,Pegawai,27,1,6,6557645,8,CCTV Outdoor,Belum,Warm
246,2024,47,Wirausaha,8,6,7,13578546,1,Paket CCTV,Belum,Warm
247,2024,27,Karyawan,23,6,14,9870950,8,CCTV Outdoor,Lunas,Hot
248,2024,43,Freelancer,20,7,8,9394770,2,CCTV Outdoor,Belum,Hot
249,2024,33,Wirausaha,27,2,17,2059455,6,DVR,Lunas,Cold
250,2024,30,Pegawai,12,7,1,3657049,2,Paket CCTV,Belum,Warm
251,2024,48,Mahasiswa,18,3,5,2257218,2,Paket CCTV,Belum,Cold
252,2024,23,Pegawai Swasta,19,8,14,5990466,7,CCTV Indoor,Lunas,Warm
253,2024,41,Freelancer,12,2,11,14332656,7,CCTV Indoor,Belum,Warm
254,2024,46,Pegawai,29,3,10,3332598,7,CCTV Indoor,Lunas,Warm
255,2024,42,Pegawai Swasta,19,6,18,5321739,1,DVR,Belum,Warm
256,2024,43,Freelancer,7,3,8,6750869,1,Kamera CCTV,Lunas,Warm
257,2024,25,Mahasiswa,29,6,8,2006541,4,CCTV Indoor,Belum,Cold
258,2024,22,Karyawan,17,4,2,14242332,7,CCTV Outdoor,Lunas,Warm
259,2024,23,Teknisi,8,8,6,12615822,4,CCTV Outdoor,Belum,Warm
260,2024,38,Pegawai,4,1,12,14113282,5,Kamera CCTV,Lunas,Warm
261,2024,47,Pegawai,15,8,17,1851738,7,CCTV Indoor,Belum,Cold
262,2024,29,Karyawan,29,8,9,4120637,8,CCTV Indoor,Belum,Warm
263,2024,22,Mahasiswa,10,7,19,6333055,5,Kamera CCTV,Lunas,Warm
264,2024,42,Pegawai Swasta,15,5,14,13136673,4,CCTV Indoor,Belum,Hot
265,2024,31,Pegawai,24,7,19,7488768,2,DVR,Belum,Hot
266,2024,39,Freelancer,21,3,14,8542732,6,CCTV Indoor,Belum,Hot
267,2024,24,Freelancer,5,1,7,13950977,7,Paket CCTV,Lunas,Warm
268,2024,37,Pegawai,26,4,5,821836,5,Paket CCTV,Lunas,Cold
269,2024,40,Kontraktor,23,2,16,13779485,8,CCTV Outdoor,Lunas,Hot
270,2024,26,Pegawai Swasta,1,8,6,11766056,4,DVR,Belum,Warm
271,2024,23,Pegawai Swasta,30,8,20,14276848,1,CCTV Indoor,Belum,Hot
272,2024,40,Kontraktor,3,8,18,5775238,4,DVR,Lunas,Warm
273,2024,35,Teknisi,25,8,10,2173768,7,DVR,Lunas,Cold
274,2024,46,Kontraktor,27,6,2,10765203,8,CCTV Outdoor,Belum,Hot
275,2024,44,Mahasiswa,5,7,7,3428211,6,CCTV Outdoor,Belum,Warm
276,2024,47,Kontraktor,12,1,2,14919242,7,DVR,Belum,Warm
277,2024,25,Kontraktor,30,5,20,10575100,7,Paket CCTV,Lunas,Hot
278,2024,38,Teknisi,13,5,12,10311049,7,Paket CCTV,Belum,Hot
279,2024,31,Karyawan,6,4,3,8702366,6,Kamera CCTV,Lunas,Warm
280,2024,46,Teknisi,15,5,2,11142571,6,DVR,Lunas,Warm
281,2024,41,Freelancer,22,2,7,9986522,5,CCTV Outdoor,Belum,Hot
282,2024,30,Karyawan,18,2,10,5624122,3,CCTV Outdoor,Lunas,Warm
283,2024,36,Pegawai,10,8,4,3449177,5,Paket CCTV,Belum,Warm
284,2024,48,Pegawai,13,7,12,12591604,4,DVR,Belum,Hot
285,2024,49,Teknisi,9,8,13,2939902,3,CCTV Outdoor,Belum,Warm
286,2024,36,Pegawai Swasta,3,5,2,5487337,1,DVR,Belum,Cold
287,2024,34,Pegawai,4,1,18,4167235,5,CCTV Outdoor,Belum,Warm
288,2024,42,Mahasiswa,6,5,10,13761278,1,Kamera CCTV,Belum,Warm
289,2024,22,Freelancer,17,5,9,1246710,7,Paket CCTV,Belum,Cold
290,2024,25,Freelancer,24,4,10,12937527,2,CCTV Indoor,Lunas,Hot
291,2024,26,Karyawan,22,7,4,8109446,4,Kamera CCTV,Lunas,Hot
292,2024,43,Wirausaha,2,1,3,663872,6,DVR,Lunas,Cold
293,2024,25,Kontraktor,11,6,15,2269350,4,DVR,Belum,Cold
294,2024,28,Teknisi,7,3,5,12153704,2,CCTV Outdoor,Lunas,Cold
295,2024,48,Teknisi,8,3,10,1418130,1,CCTV Outdoor,Belum,Cold
296,2024,23,Wirausaha,18,2,17,2978219,6,CCTV Outdoor,Lunas,Warm
297,2024,41,Teknisi,13,7,19,4801719,3,Paket CCTV,Belum,Warm
298,2024,47,Karyawan,21,2,19,4229015,2,Kamera CCTV,Belum,Warm
299,2024,26,Pegawai Swasta,23,5,2,11288816,6,Paket CCTV,Belum,Hot
300,2024,46,Mahasiswa,2,7,7,1289416,1,CCTV Indoor,Belum,Cold
301,2024,24,Freelancer,23,6,19,9946031,2,DVR,Belum,Hot
302,2024,38,Teknisi,20,5,12,5620283,4,Kamera CCTV,Belum,Warm
303,2024,27,Wirausaha,29,7,4,2008663,5,Kamera CCTV,Lunas,Cold
304,2024,29,Pegawai Swasta,24,7,6,14598568,3,Kamera CCTV,Belum,Hot
305,2024,38,Kontraktor,6,8,13,10440339,1,Paket CCTV,Lunas,Warm
306,2024,23,Pegawai Swasta,9,5,11,1227944,3,Paket CCTV,Belum,Cold
307,2024,35,Kontraktor,28,7,20,6699536,2,Paket CCTV,Lunas,Warm
308,2024,24,Kontraktor,24,7,20,3322164,7,DVR,Lunas,Warm
309,2024,32,Freelancer,23,8,13,3008328,8,Kamera CCTV,Belum,Warm
310,2024,41,Kontraktor,16,1,14,2315354,2,CCTV Indoor,Belum,Cold
311,2024,43,Freelancer,10,2,8,13191131,8,CCTV Outdoor,Lunas,Warm
312,2024,42,Kontraktor,16,2,7,8733618,3,Paket CCTV,Lunas,Warm
313,2024,25,Wirausaha,19,6,14,5026622,7,Paket CCTV,Belum,Warm
314,2024,33,Wirausaha,6,1,17,11791053,8,Kamera CCTV,Lunas,Warm
315,2024,36,Kontraktor,4,4,8,12866530,4,DVR,Belum,Warm
316,2024,32,Pegawai Swasta,21,8,20,5019056,8,Paket CCTV,Lunas,Warm
317,2024,48,Karyawan,6,4,12,7842718,1,Paket CCTV,Lunas,Warm
318,2024,31,Pegawai Swasta,21,6,11,13614613,1,CCTV Indoor,Lunas,Hot
319,2024,33,Pegawai,19,2,2,3573491,5,CCTV Indoor,Lunas,Warm
320,2024,26,Wirausaha,11,6,16,564285,3,Kamera CCTV,Belum,Cold
321,2024,43,Pegawai,8,6,2,5483963,6,CCTV Indoor,Lunas,Warm
322,2024,50,Freelancer,2,3,1,4309973,8,Kamera CCTV,Lunas,Cold
323,2024,40,Pegawai,19,5,4,12680741,4,CCTV Outdoor,Lunas,Warm
